Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Volume,Volume,Volume,Volume
2022-04-06,131.17282017167753,206.68425704283496,50.12196864494675,99.3061438518636,131.7760850660846,212.94000633519155,50.18612155402036,99.98656126514025,130.00285949908704,206.18625066906304,49.342967037012095,98.56092511650412,131.54757690429688,212.7041015625,49.828697204589844,99.78289794921875,1550700,1795900,19644100,1563600
2022-04-07,131.90403541976596,213.70883118980683,49.883690546384244,99.54451584057405,134.0337329407348,214.73106722799278,50.26860802888008,100.86369412076468,130.56955570345255,208.61511554769905,49.25132461253897,98.96593011466835,133.59500122070312,213.44671630859375,50.066986083984375,100.4980239868164,1524100,1212000,15739000,1436400
2022-04-08,134.41761768901713,214.87960967827857,50.25943874964007,100.41240040805356,135.1945508955485,215.8232153121939,50.323591655634274,100.62994921897223,132.69009681585095,211.43720023558313,49.498763584178505,99.11868349543732,133.90576171875,211.87405395507812,49.746212005615234,99.3130874633789,1538200,1258900,18148200,1335600
2022-04-11,133.44876744097664,211.6294311624635,49.41628429432511,98.88493637167466,136.5473375791564,211.760481954433,49.44378089604487,99.15571762551978,133.39392771327934,207.44436478265823,48.38067102609489,96.58911194191927,135.04832458496094,209.5500030517578,48.46315383911133,96.74185943603516,1342300,1302100,20992100,1916400
2022-04-12,134.22568302686295,209.70725828734138,47.38170805524912,97.51946791494262,135.24939500059804,212.0138453385397,48.52730059287086,98.41743411107394,133.4944542111823,205.32124331429978,47.18008264988499,95.82536717767307,133.8600616455078,206.22116088867188,47.49168395996094,96.22343444824219,861000,1467800,25254200,1606000
2022-04-13,134.06115010308338,206.9026283837258,47.51001638028507,96.7418579401119,135.07572677381768,209.37522169993954,47.986583320743975,97.66296197139602,132.21480047902924,206.02018878965515,47.11593224675312,96.50579042430371,132.8911895751953,209.13058471679688,47.794124603271484,97.05892181396484,961500,1085100,17004600,1658400
2022-04-14,133.61328688715318,209.41020423318352,47.72997178973264,97.56112304750467,134.4176400870477,210.1615932058042,48.004913314663675,98.00547999614737,132.0777187204798,207.5579486255821,46.85015401545369,95.5592178326253,133.0557403564453,207.64532470703125,46.89597702026367,95.7374267578125,820900,834100,18024800,1383200
2022-04-18,133.4213536321603,207.31329768735617,46.6302071472005,95.28845553909424,133.49447792141908,208.65881459378292,47.253409867814774,96.62614563211818,130.7706643949318,205.39987628476428,46.55688753485928,94.99684603449933,131.18197631835938,206.40464782714844,46.84099578857422,95.62403106689453,1012000,773400,13990700,1211600
2022-04-19,130.62438187951122,207.17351437140786,46.7401755540842,95.41572870818932,133.33905939469065,207.74143223512507,47.601659884142556,97.40374840986608,129.67378031315042,202.43802140721453,46.666855953532355,95.41572870818932,132.81805419921875,204.53492736816406,47.500850677490234,96.96170806884766,950300,1356600,15490900,1491200
2022-04-20,133.1745145731034,205.32124370373066,47.858278783661724,97.45466127795022,134.4541682694427,207.60162060324078,49.18716343632851,98.08416280955757,132.46157043462566,204.37763809030744,47.79412587612903,97.23480294702084,133.63153076171875,206.36968994140625,48.59145736694336,97.54029083251953,1212000,1591800,19526200,1314800
2022-04-21,133.9972159857304,206.72791858146928,48.88472867765302,97.81802327262763,135.9989361310074,207.4705752405625,49.333802525326824,98.62804333245779,133.83268282690688,199.33634774916482,48.3256789167806,96.83211088256232,135.41395568847656,199.528564453125,48.37150192260742,96.94551849365234,1071800,1633500,17147300,1556800
2022-04-22,136.81239239230854,199.572251882825,48.499807679124174,96.8899805062633,139.78299833186207,200.34111869632034,48.53646748217012,98.61879522788645,136.81239239230854,194.31252936014704,47.005957413750146,94.24700442199638,137.69900512695312,194.76686096191406,47.07011032104492,94.42288970947266,2146700,1570100,17693000,1692400
2022-04-25,138.09202657385612,193.4388016470733,47.152591348035195,94.44833504973695,139.73728780131043,194.268834293615,47.638321483789525,94.96442899562493,135.5875725972296,190.04882620007717,46.318600088647194,92.51354071496444,139.197998046875,193.57859802246094,47.601661682128906,94.87879943847656,1235800,2040300,18677000,2235600
