Date,Open,High,Low,Close,Volume
2023-07-19,79.85982691720147,81.129274725453,79.69633914987806,80.85037994384766,2716600
2023-07-20,80.58109985619888,80.74458761461248,79.43667087287962,80.2348861694336,3041800
2023-07-21,79.75404370365348,81.18697936394685,78.23455094322811,80.78306579589844,2139300
2023-07-24,80.99463455537843,82.19676340513834,80.78305870386671,81.71591186523438,2867600
2023-07-25,82.0236510803403,84.21633278193707,81.5524186571193,83.68739318847656,3167100
2023-07-26,83.81242690077886,85.29345055998603,83.20654925002314,83.73548889160156,2035000
2023-07-27,83.95669044882315,84.38945394442219,80.61957924424635,80.93694305419922,1809200
2023-07-28,82.13906576650334,82.56221014363892,81.40816935186928,82.0236587524414,2285400
2023-07-31,82.69685292360475,83.3411996190315,80.64842782801811,81.36970520019531,4875800
2023-08-01,81.05232842349152,81.523560843476,80.46568900103236,81.0907974243164,1308700
2023-08-02,80.15795244078315,80.15795244078315,79.0327615673695,79.18663024902344,1456600
2023-08-03,78.9942941166473,79.23471989794638,77.08050695192618,77.09012603759766,2189600
2023-08-04,77.34016861245239,78.62885469963025,77.34016861245239,77.41710662841797,1687000
2023-08-07,77.0131842233129,77.54211651372172,76.63812060998607,77.26322174072266,2660800
2023-08-08,60.26993892341068,64.94381715082018,59.8948752552913,62.29913330078125,11101100
2023-08-09,62.164494387287796,62.539558049072554,60.39496034894936,61.33742904663086,6099700
2023-08-10,61.23163562464692,62.48185261012484,60.808487574375256,60.837337493896484,2777800
2023-08-11,60.60653706411811,61.904838605844525,60.596917977546084,61.80866241455078,2501800
2023-08-14,61.27010548775957,62.50108431932004,61.19317114509019,62.48185348510742,2384100
2023-08-15,61.61632177906516,62.42415625683112,61.44321491505909,62.10679244995117,3029400
2023-08-16,61.76057590079573,61.914444585543215,60.87580711755686,60.914276123046875,2185900
2023-08-17,61.18355013047985,61.38551056940827,60.38533846599407,60.414188385009766,1868000
2023-08-18,60.05835994907831,61.27010425340798,59.73138074495662,61.25086975097656,2409700
2023-08-21,61.24125280919775,62.21257498046496,60.91427361321762,62.09716796875,1718800
2023-08-22,62.57802359759849,64.52066072975963,62.54917367708914,64.42449188232422,3037900
2023-08-23,64.4052559390904,65.50159685476021,64.39563685394602,64.63606262207031,2169600
2023-08-24,63.66475382405342,64.72263329555902,62.1356491397723,62.88577651977539,1473500
2023-08-25,63.33777645329862,64.05905388876387,62.93386285036933,63.51088333129883,1245100
2023-08-28,64.03980636365462,64.38602006909963,63.47240505247176,63.86670684814453,999800
2023-08-29,64.21291845778659,66.347900703229,64.15521861457344,66.29981994628906,1741500
2023-08-30,66.38636136261633,67.62695919617718,66.2036354324696,67.12687683105469,1579500
2023-08-31,67.42500050250672,68.78099796915478,67.37691241577805,67.7519760131836,2457900
2023-09-01,68.31939297899756,69.60807168421923,67.55964660644531,67.55964660644531,1621200
2023-09-05,67.29036671610208,68.35785773829109,67.12687895091949,68.0212631225586,2397000
2023-09-06,67.93471424249645,68.53097287475214,67.57888141300648,68.27130889892578,1619600
2023-09-07,68.02126234533488,69.04066526625178,66.50176971200469,66.54985046386719,1428800
2023-09-08,66.33828803666587,66.60756375088695,65.19385891401335,66.09786224365234,1123300
2023-09-11,67.07879862148421,67.65581907766725,65.44390610609676,65.72279357910156,1640900
2023-09-12,65.41505111565891,66.3286735954176,65.20348256625005,65.49198913574219,2643600
2023-09-13,65.49197998566063,65.83819369045139,64.64568389462347,64.94380950927734,1291400
2023-09-14,65.62661670274001,66.79027655932265,65.5015979426354,66.45368194580078,1266300
2023-09-15,66.52100881945304,68.22322759834128,66.15556424355115,66.40560913085938,3981100
2023-09-18,65.97283510402534,66.19403005851322,64.722625402229,64.81879425048828,1753300
2023-09-19,64.67453598156351,65.7035580449564,64.55912896369428,65.25155639648438,1663800
2023-09-20,66.35752585274832,69.16569764964349,66.22288798147346,67.31922912597656,3026500
2023-09-21,66.41436659988146,67.93218445087702,66.34625957895496,66.67706298828125,2375500
2023-09-22,66.67706803376687,66.77436272486585,65.94734671586087,66.00572204589844,1501100
2023-09-25,65.49978252226168,66.52139529483476,65.30519314801387,66.30734252929688,1265400
2023-09-26,65.80138927720303,66.48246684011198,65.13005083171552,65.28572082519531,1503200
2023-09-27,65.95707741110598,66.29761253633987,64.92574033950937,65.38302612304688,1740600
2023-09-28,65.6554623351603,66.70625538646213,64.7116882473899,66.33653259277344,1480700
2023-09-29,66.62842066087445,67.11490151217927,65.81112897066586,66.32679748535156,1089900
2023-10-02,65.68464108332985,65.94733745471692,63.78736146934834,64.186279296875,1566000
2023-10-03,63.47602489115192,64.7700658491175,63.22306017122746,63.31062316894531,2008500
2023-10-04,64.13763057772363,64.13763057772363,62.90197254085318,63.65114974975586,1822800
2023-10-05,63.26196987680324,63.28143326879292,62.09441874313138,62.794952392578125,1590700
2023-10-06,62.38630533810744,62.52251937890022,60.59605199423184,61.28685760498047,2361800
2023-10-09,60.81010171567982,62.32791947910859,60.751722681873304,61.99711608886719,1419400
2023-10-10,62.34739498190752,64.00142710068826,62.30847561847497,63.991695404052734,1941100
2023-10-11,64.15709959634003,64.4003400316636,63.37872723406102,63.777645111083984,1536700
2023-10-12,64.17655006520167,64.2154694222912,61.82198463459699,62.27927780151367,4268900
2023-10-13,62.61007543803878,63.077100257009214,62.230621020234906,63.04791259765625,2103700
2023-10-16,63.680338578033236,64.94519172315836,62.67818924176275,64.59492492675781,1287200
2023-10-17,63.99167439664523,66.34624686113513,63.83600441712848,65.7332763671875,1400800
2023-10-18,64.93545527806465,65.47058712872966,64.867348262808,65.17869567871094,2143600
2023-10-19,65.23709434422507,65.42195204611889,64.25440080730944,64.60466766357422,2851600
2023-10-20,64.76032681833728,65.1981640266672,63.82628449958531,63.865203857421875,1272000
2023-10-23,63.32034247005042,63.79709157377701,62.561433612618096,63.008995056152344,2222400
2023-10-24,63.64142950358711,64.954926337566,63.15494864484613,64.2933120727539,1544100
2023-10-25,64.1765529843535,64.60465850870304,63.69007213326855,64.3127670288086,2601200
2023-10-26,64.54627606143755,66.11274500312304,64.40033774391489,65.35383605957031,2139900
2023-10-27,65.55815633955902,66.44355504513868,65.06195121972621,66.01544952392578,3680400
2023-10-30,66.67706493025145,66.9203053582317,61.500908919755865,63.4954833984375,4522300
2023-10-31,64.25439110121596,67.08570576803758,64.03060664564173,66.5019302368164,3075800
2023-11-01,66.31707444942928,66.78409191844845,65.25654231379491,66.21977233886719,1957900
2023-11-02,66.88137984057796,67.83488549663011,66.59922007932893,67.57218170166016,1942700
2023-11-03,68.3311006818165,71.22079057803691,68.13650389585509,70.7440414428711,2609500
2023-11-06,70.17971978075617,70.8899850376453,69.42081089617567,70.38404083251953,2930400
2023-11-07,75.87155142908091,76.19262312650001,68.21434070287472,69.6543197631836,5036200
2023-11-08,69.68350666582666,70.62727310388348,68.51594838911657,69.09972381591797,2393400
2023-11-09,69.68351345430409,69.93647812926022,68.85649014406833,69.60567474365234,2565500
2023-11-10,69.35270101014058,70.06296623764953,68.3213640992036,69.80026245117188,2533100
2023-11-13,69.06082147611663,69.80999868362692,67.84461940845763,69.30406188964844,3677100
2023-11-14,70.71485970519161,71.93106188268658,70.53972629470799,71.66836547851562,2019500
2023-11-15,71.82402737592064,72.76780134663962,71.67808164650184,71.99916076660156,1161000
2023-11-16,71.65863426624142,72.67051537551939,71.49323255053199,72.62186431884766,1434400
2023-11-17,73.18617801918535,73.18617801918535,71.82403019630145,71.94078826904297,1153200
2023-11-20,71.56133322906105,72.11592107962952,70.91917496887208,71.8726806640625,1581500
2023-11-21,71.76564750712033,71.96996854611987,70.9678193163617,71.60997009277344,1770400
2023-11-22,72.06727174527612,72.9721264096805,71.43484516510384,72.96239471435547,2439700
2023-11-24,72.73860690903128,73.34183831387315,72.6413122395188,72.70941925048828,603100
2023-11-27,72.59267498628014,72.92347841009885,72.16456945135349,72.81645202636719,2480100
2023-11-28,73.48779413803555,73.86724859750392,72.81644820677224,73.62400817871094,1192400
2023-11-29,73.88671716920905,74.48994869932744,73.15699586165887,73.19591522216797,1400600
2023-11-30,73.21536031583145,73.66292176054397,72.85536185192645,73.34184265136719,1811000
2023-12-01,73.41968566213572,74.71372644600572,73.41968566213572,74.70399475097656,1654800
2023-12-04,74.19805726688836,74.92777850202228,74.06184323017868,74.23697662353516,1861200
2023-12-05,73.97427503847342,74.34400522614231,73.06942038287042,73.38076782226562,1845000
2023-12-06,73.76022040071138,74.73318205189337,73.57536273470045,73.66292572021484,987800
2023-12-07,73.87697640324599,75.80344368482928,73.68238704769975,74.91804504394531,1157200
2023-12-08,74.88886566623148,75.34615886776432,74.392653104663,74.742919921875,1104400
2023-12-11,74.49967492192197,74.78183469755152,74.22724684148197,74.59696960449219,2234300
2023-12-12,74.82075229049268,74.85967164722452,73.58508683935885,74.39264678955078,1805600
2023-12-13,74.06184212866185,77.15586041653692,73.7115753471584,76.60127258300781,1514500
2023-12-14,77.81748373362464,80.4736651440274,77.19478138674529,78.02180480957031,2914500
2023-12-15,77.7007099262881,78.46935044106085,77.05855174061435,77.46720123291016,3711900
2023-12-18,77.88557770508038,78.0996230179757,76.46504726126118,76.9223403930664,1589400
2023-12-19,77.05856123379677,78.10936161811152,76.9223471939532,77.82720184326172,2187600
2023-12-20,77.67152307230138,77.92448773312047,76.85423150234888,77.44773864746094,1870400
2023-12-21,78.22612138399906,78.3720671221644,76.89316119598162,78.27476501464844,1172100
2023-12-22,78.91692322686913,79.73420748293293,78.15801429677886,78.51800537109375,1174100
2023-12-26,78.59584175720427,80.2693370011684,78.4207083613683,79.8606948852539,798900
2023-12-27,79.75261099772086,80.27341908750985,79.5659033817235,79.99827575683594,971200
2023-12-28,79.83121098575252,80.84334850455207,79.83121098575252,80.43063354492188,938000
2023-12-29,79.90982420802648,80.4208035549539,79.24161583306433,79.5658950805664,767700
2024-01-02,78.94681372939826,80.07687298245385,78.85837802554413,80.00808715820312,1096300
2024-01-03,79.33988425249537,79.84104243341734,77.81676732586756,78.60289001464844,1036000
2024-01-04,78.5439323093693,78.8190756233169,78.09191007972778,78.17052459716797,1115700
2024-01-05,77.63005632223692,79.54623825793605,77.42369884432262,78.58323669433594,1215000
2024-01-08,78.13121964276252,79.22197173886214,77.92486215121573,78.84855651855469,949800
2024-01-09,78.28843478580188,78.91733589827831,78.09190599956273,78.66184997558594,846500
2024-01-10,78.3375837992867,79.40867860802898,78.08209033687996,79.14336395263672,872900
2024-01-11,79.29075339812067,79.29075339812067,78.14103672413864,78.39653015136719,2048700
2024-01-12,81.56069537486614,81.96358915544303,77.9543387160268,78.85838317871094,4072400
2024-01-16,78.56358422943748,79.08439979817759,77.72832557696077,78.16069793701172,5072600
2024-01-17,76.90289459155402,77.63988883343079,76.07745714216361,77.51213836669922,1892300
2024-01-18,77.60057661169498,77.67919112510349,76.30346712882509,76.99132537841797,1880100
2024-01-19,77.18786409626304,78.36705184620898,76.6179201017156,78.14103698730469,1564000
2024-01-22,79.42832929755836,79.79190833183678,78.34740588978808,78.37688446044922,1609300
2024-01-23,78.73063911502729,78.9959537373291,77.92485906217536,78.10173797607422,1244300
2024-01-24,78.13121583893002,78.63236650953364,77.36474305133119,77.66936492919922,2164500
2024-01-25,78.25895765863739,80.96126975319557,78.1901718324778,80.94161987304688,2510800
2024-01-26,81.25607025597503,81.51155618280879,80.46994010409011,80.83352661132812,1802600
2024-01-29,80.51907428292347,80.8236961489746,79.83120854084686,80.58786010742188,1176700
2024-01-30,80.05721829405032,81.24623461158797,79.58553874388302,79.59536743164062,1146400
2024-01-31,79.96878787653141,81.08901855295039,79.24162230521054,79.28092956542969,1672100
2024-02-01,79.30057477600697,80.89248498419518,78.8878598136558,80.75491333007812,1209700
2024-02-02,80.11618832845177,80.74508949855934,79.31040823568311,79.8606948852539,2411700
2024-02-05,78.7994252465086,79.51676209662924,78.27861719165836,78.78959655761719,2064800
2024-02-06,78.80924656323063,80.371678227351,78.77976799360265,79.3693618774414,1276900
2024-02-07,79.53641576624386,81.51155480703274,79.33987948304345,80.9121322631836,1539100
2024-02-08,81.06936560794882,81.32485904117205,79.08439777299634,79.11387634277344,1436400
2024-02-09,78.61271385018519,78.90751452596042,77.35491162811704,78.55375671386719,3152600
2024-02-12,78.48496866636324,79.95895700930947,78.40635415543727,78.92716217041016,2008200
2024-02-13,77.90520649886463,79.12370159375031,77.59075590995563,79.09422302246094,3263300
